Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
CAT 777F,84.8,Waste,14.2,3.9,23,3,1950.4
CAT 777E,84.8,Waste,14.9,3.2,15,3.1,1272
CAT 785C,135.15,Waste,12.7,5.4,16,3.2,2162.4
CAT 777E,84.8,Waste,15.7,2.4,6,3.4,508.8
CAT 785C,135.15,Waste,15.8,2.3,1,4,135.15
CAT 777E,84.8,Waste,10.4,7.7,1,5.4,84.8
CAT 777F,84.8,Waste,14.8,3.3,2,1.3,169.6
CAT 777F,84.8,High Grade,13.5,4.6,6,1.6,508.8
CAT 777F,84.8,Waste,11.9,6.2,3,1.8,254.4
KOMATSU HD785,84.8,High Grade,13.3,4.8,5,1.8,424
CAT 777F,84.8,Low Grade,15.4,2.7,2,1.9,169.6
CAT 785C,135.15,High Grade,10.5,7.6,1,2,135.15
CAT 777F,84.8,High Grade,8.2,9.9,3,2,254.4
CAT 777E,84.8,Waste,17,1.1,8,2,678.4
CAT 785C,135.15,Low Grade,12.8,5.3,4,2.1,540.6
CAT 777F,84.8,Waste,13.4,4.7,7,2.4,593.6
CAT 777F,84.8,Waste,14.5,3.6,19,2.5,1611.2
CAT 777E,84.8,Waste,14.3,3.8,14,2.7,1187.2
CAT 777F,84.8,Waste,13.9,4.2,4,2.8,339.2
CAT 785C,135.15,Low Grade,13.6,4.5,5,2.8,675.75
CAT 777F,84.8,High Grade,7.8,10.3,1,2.9,84.8
CAT 777E,84.8,High Grade,16.3,1.8,2,2.9,169.6
CAT 785C,135.15,Waste,15.2,2.9,4,2.9,540.6
CAT 777E,84.8,Low Grade,12.5,5.6,4,2.9,339.2
CAT 777E,84.8,Waste,14.3,3.8,1,3,84.8
CAT 777E,84.8,Waste,13.9,4.2,4,3,339.2
CAT 785C,135.15,Waste,12.2,5.9,4,3.1,540.6
CAT 777F,84.8,Waste,14.6,3.5,10,3.1,848
CAT 777E,84.8,Waste,13.3,4.8,22,3.4,1865.6
CAT 777E,84.8,Waste,13.1,5,14,3.6,1187.2
CAT 785C,135.15,Waste,12,6.1,2,3.8,270.3
CAT 777E,84.8,Waste,12.3,5.8,23,3.8,1950.4
CAT 777F,84.8,Waste,13.5,4.6,14,3.9,1187.2
CAT 785C,135.15,Waste,10.8,7.3,3,4,405.45
CAT 785C,135.15,Waste,15.4,2.7,1,4.1,135.15
CAT 785C,135.15,Waste,12.3,5.8,1,4.2,135.15
CAT 777E,84.8,Waste,14.5,3.6,2,4.5,169.6
CAT 777E,84.8,Waste,5.8,12.3,2,5,169.6
CAT 785C,135.15,Waste,15.6,2.5,1,7.5,135.15
CAT 777F,84.8,Low Grade,13.4,4.8,1,0.9,84.8
CAT 777E,84.8,Waste,13.3,4.9,2,3,169.6
CAT 777F,84.8,High Grade,13.4,4.8,2,1.4,169.6
CAT 777F,84.8,High Grade,12,6.2,3,1.4,254.4
CAT 785C,135.15,High Grade,11.6,6.6,4,1.6,540.6
CAT 777F,84.8,High Grade,12.9,5.3,7,1.6,593.6
CAT 777E,84.8,Low Grade,11.9,6.3,8,1.6,678.4
CAT 777F,84.8,Waste,15.1,3.1,16,1.6,1356.8
CAT 777E,84.8,High Grade,11,7.2,2,1.7,169.6
CAT 777F,84.8,Low Grade,10.6,7.6,4,1.7,339.2
CAT 785C,135.15,Waste,12.6,5.6,23,1.8,3108.45
CAT 777E,84.8,High Grade,14.4,3.8,4,1.9,339.2
CAT 777F,84.8,Low Grade,14.6,3.6,14,1.9,1187.2
CAT 777F,84.8,Waste,13.3,4.9,17,1.9,1441.6
CAT 777F,84.8,High Grade,11.7,6.5,2,2,169.6
CAT 777F,84.8,Waste,11.6,6.6,6,2,508.8
CAT 785C,135.15,High Grade,9.5,8.7,6,2,810.9
CAT 777E,84.8,Waste,12.3,5.9,9,2,763.2
CAT 777E,84.8,Low Grade,12.9,5.3,3,2.1,254.4
CAT 785C,135.15,Waste,13.7,4.5,14,2.1,1892.1
CAT 777E,84.8,Waste,15.5,2.7,2,2.2,169.6
CAT 777F,84.8,High Grade,15.4,2.8,2,2.2,169.6
CAT 777F,84.8,Low Grade,12.2,6,5,2.2,424
CAT 785C,135.15,Waste,13.4,4.8,6,2.2,810.9
CAT 777F,84.8,Waste,14.1,4.1,16,2.3,1356.8
CAT 785C,135.15,Low Grade,12.4,5.8,4,2.4,540.6
CAT 777E,84.8,High Grade,11.3,6.9,3,2.5,254.4
CAT 785C,135.15,Waste,12,6.2,14,2.5,1892.1
CAT 777E,84.8,High Grade,13.3,4.9,3,2.7,254.4
CAT 785C,135.15,Waste,16.9,1.3,15,2.7,2027.25
CAT 777E,84.8,Waste,12.3,5.9,1,2.8,84.8
CAT 777F,84.8,Waste,15.1,3.1,16,2.8,1356.8
CAT 777F,84.8,High Grade,11.9,6.3,1,2.9,84.8
CAT 777F,84.8,Waste,11.9,6.3,23,3,1950.4
CAT 777F,84.8,Waste,13.3,4.9,12,3.1,1017.6
CAT 777F,84.8,Waste,11.1,7.1,4,3.2,339.2
KOMATSU HD785,84.8,Waste,12.3,5.9,12,3.2,1017.6
