Truck Model (TM),Nominal Tonnage (tonnes) (NT),"Material Type (MAT),",Fixed Time(FH+EH),Variable Time (DT+Q+LT),"Number of loads (NL),",Cycle Distance (km) (CD),Production (t) (P)
CAT 777F,84.8,Waste,11.7,3.5,32,2.9,2713.6
CAT 777E,84.8,Waste,12.1,3.1,2,3,169.6
KOMATSU HD785,84.8,Low Grade,10,5.2,6,3,508.8
CAT 777E,84.8,High Grade,12,3.2,7,3.2,593.6
CAT 785C,135.15,Waste,8.5,6.7,14,3.9,1892.1
CAT 777F,84.8,Waste,8.6,6.6,4,4,339.2
CAT 777F,84.8,Waste,12.5,2.7,11,4.2,932.8
CAT 785C,135.15,Waste,12.7,2.5,3,5.2,405.45
CAT 777F,84.8,Waste,12,3.2,24,2.4,2035.2
CAT 777F,84.8,Waste,11,4.2,3,2.6,254.4
CAT 777F,84.8,Waste,10.7,4.5,14,2.8,1187.2
CAT 777F,84.8,Waste,11.1,4.1,9,3.4,763.2
CAT 777E,84.8,Waste,12.4,2.8,3,3.7,254.4
CAT 785C,135.15,Waste,7.5,7.8,6,1,810.9
CAT 777E,84.8,Waste,11.8,3.5,5,1.7,424
CAT 777E,84.8,Waste,11.8,3.5,1,2.7,84.8
CAT 777F,84.8,Low Grade,11.5,3.8,2,0.9,169.6
CAT 777E,84.8,Low Grade,10.1,5.2,4,1.6,339.2
CAT 777F,84.8,Waste,11.8,3.5,21,1.6,1780.8
CAT 777F,84.8,Waste,11.1,4.2,4,1.7,339.2
CAT 777E,84.8,High Grade,7,8.3,2,2.3,169.6
CAT 777F,84.8,Waste,10.7,4.6,11,2.8,932.8
CAT 777F,84.8,Waste,11.4,3.9,2,3.1,169.6
CAT 785C,135.15,Waste,11.1,4.2,4,3.1,540.6
CAT 777E,84.8,Waste,12.7,2.6,14,3.1,1187.2
CAT 777F,84.8,Waste,10.5,4.8,3,3.4,254.4
CAT 785C,135.15,High Grade,12.6,2.7,2,0.9,270.3
CAT 777E,84.8,High Grade,11,4.3,2,0.9,169.6
CAT 777F,84.8,Low Grade,8.8,6.5,2,1,169.6
CAT 777E,84.8,High Grade,12.2,3.1,8,1.1,678.4
CAT 777F,84.8,High Grade,11.3,4,9,1.4,763.2
CAT 777E,84.8,Waste,9.9,5.4,25,1.5,2120
CAT 785C,135.15,Low Grade,10.5,4.8,2,1.7,270.3
CAT 777F,84.8,High Grade,9.4,5.9,3,1.9,254.4
CAT 777F,84.8,Waste,12.9,2.4,10,1.9,848
CAT 777E,84.8,High Grade,9.7,5.6,4,2.1,339.2
CAT 777E,84.8,Low Grade,11.5,3.8,2,2.3,169.6
KOMATSU HD785,84.8,Waste,11.2,4.1,5,2.4,424
CAT 777E,84.8,Waste,10.4,4.9,27,2.4,2289.6
CAT 777F,84.8,High Grade,8.4,6.9,6,2.5,508.8
CAT 777E,84.8,Waste,12.1,3.2,6,2.7,508.8
CAT 785C,135.15,Waste,14.2,1.1,9,2.7,1216.35
KOMATSU HD785,84.8,Waste,8,7.3,17,3,1441.6
CAT 777F,84.8,Waste,12.4,2.9,2,3.3,169.6
CAT 785C,135.15,Waste,10.2,5.1,8,3.3,1081.2
CAT 777F,84.8,Waste,11.9,3.4,19,5.2,1611.2
CAT 777F,84.8,High Grade,6.1,9.3,4,1.5,339.2
CAT 777F,84.8,Low Grade,8.6,6.8,12,1.5,1017.6
CAT 777F,84.8,Waste,9.5,5.9,3,1.7,254.4
CAT 785C,135.15,Low Grade,8.5,6.9,5,1.8,675.75
KOMATSU HD785,84.8,Waste,12,3.4,32,2.5,2713.6
CAT 785C,135.15,Low Grade,9.8,5.6,3,2.8,405.45
CAT 777F,84.8,Waste,10.3,5.1,27,2.8,2289.6
CAT 777F,84.8,Low Grade,12.8,2.6,1,2.9,84.8
KOMATSU HD785,84.8,Low Grade,12.6,2.8,6,3,508.8
CAT 785C,135.15,Waste,11.3,4.1,7,4.9,946.05
CAT 777E,84.8,Low Grade,12.4,3,2,1.4,169.6
CAT 785C,135.15,Waste,7.9,7.5,12,1.7,1621.8
CAT 785C,135.15,Low Grade,8.1,7.3,2,1.9,270.3
CAT 777F,84.8,Waste,12,3.4,33,2,2798.4
CAT 785C,135.15,High Grade,10.4,5,3,2.1,405.45
CAT 777E,84.8,Waste,9.9,5.5,6,2.6,508.8
CAT 777F,84.8,Waste,11.8,3.6,15,3.2,1272
CAT 777F,84.8,Waste,13.1,2.3,11,4,932.8
CAT 777F,84.8,Waste,10.6,4.8,12,4.1,1017.6
CAT 777E,84.8,High Grade,11.8,3.6,1,8.3,84.8
CAT 777F,84.8,Waste,11.7,3.7,14,1.7,1187.2
CAT 777F,84.8,Low Grade,9.6,5.8,5,1.8,424
CAT 777F,84.8,Waste,10.7,4.7,3,3.3,254.4
CAT 777E,84.8,Waste,13,2.5,11,4.6,932.8
CAT 777F,84.8,High Grade,12.8,2.7,4,2,339.2
CAT 777E,84.8,Waste,12.2,3.3,3,2.1,254.4
CAT 777F,84.8,Waste,12.5,3,21,5.1,1780.8
CAT 785C,135.15,High Grade,7.1,8.4,3,1,405.45
CAT 777F,84.8,High Grade,10.2,5.3,2,1.1,169.6
CAT 777F,84.8,Low Grade,11.5,4,10,1.1,848
CAT 777E,84.8,Low Grade,12.9,2.6,3,1.3,254.4
CAT 777F,84.8,Waste,12.5,3,17,1.3,1441.6
CAT 777E,84.8,High Grade,11.4,4.1,8,1.4,678.4
CAT 777E,84.8,High Grade,9.9,5.6,3,1.8,254.4
CAT 785C,135.15,Waste,12.6,2.9,9,1.9,1216.35
CAT 777F,84.8,Waste,12.4,3.1,7,2.1,593.6
CAT 777E,84.8,Waste,12,3.5,31,2.5,2628.8
CAT 777F,84.8,Waste,11.2,4.3,1,2.6,84.8
CAT 777F,84.8,Waste,12.4,3.1,2,2.6,169.6
CAT 777E,84.8,Low Grade,11.9,3.6,8,2.6,678.4
CAT 785C,135.15,Waste,10.8,4.7,3,2.7,405.45
CAT 777F,84.8,Waste,11,4.5,7,2.8,593.6
CAT 777F,84.8,Waste,11.6,3.9,18,2.9,1526.4
CAT 777F,84.8,Waste,12.5,3,22,3.1,1865.6
CAT 777F,84.8,Waste,11.8,3.7,19,3.5,1611.2
CAT 785C,135.15,Waste,11.5,4,8,3.6,1081.2
CAT 777F,84.8,Low Grade,9.6,5.9,1,3.7,84.8
CAT 777E,84.8,Waste,11.1,4.4,37,3.9,3137.6
KOMATSU HD785,84.8,Waste,13.4,2.1,4,5.5,339.2
CAT 777F,84.8,Waste,13.9,1.6,2,5.6,169.6
KOMATSU HD1500,135.15,High Grade,11.6,3.9,1,7.3,135.15
CAT 785C,135.15,Waste,14.4,1.1,2,7.8,270.3
CAT 785C,135.15,Waste,6.7,8.8,12,1.9,1621.8
CAT 777E,84.8,Waste,12.6,2.9,2,3.2,169.6
CAT 777F,84.8,High Grade,8.9,6.7,4,1.5,339.2
CAT 777E,84.8,Waste,13.8,1.8,11,1.7,932.8
CAT 785C,135.15,Waste,7.6,8,36,2.3,4865.4
CAT 777F,84.8,Waste,12.6,3,29,2.6,2459.2
CAT 777F,84.8,Waste,12.2,3.4,12,2.9,1017.6
CAT 777E,84.8,Waste,10.9,4.7,18,2.9,1526.4
CAT 777F,84.8,Waste,12.2,3.4,28,2.9,2374.4
CAT 777F,84.8,Waste,11.8,3.8,19,3.2,1611.2
KOMATSU HD785,84.8,Waste,13.1,2.5,8,3.4,678.4
CAT 785C,135.15,Waste,11.9,3.7,3,3.8,405.45
CAT 777E,84.8,Waste,11.8,3.8,3,4.8,254.4
CAT 777E,84.8,Waste,10.4,5.2,18,13.8,1526.4
CAT 785C,135.15,Waste,10,5.6,10,0.6,1351.5
CAT 777E,84.8,High Grade,10.4,5.2,2,1.3,169.6
CAT 777F,84.8,High Grade,11.4,4.2,7,1.3,593.6
CAT 777E,84.8,Waste,8.5,7.1,35,1.9,2968
CAT 777E,84.8,Low Grade,11.8,3.8,2,2,169.6
CAT 785C,135.15,Waste,11.9,3.7,1,2.1,135.15
CAT 785C,135.15,High Grade,6.1,9.5,1,2.8,135.15
CAT 777F,84.8,Low Grade,7.1,8.5,1,2.9,84.8
CAT 777F,84.8,Waste,12.9,2.7,14,3,1187.2
CAT 777E,84.8,Waste,10.4,5.2,16,3,1356.8
CAT 777E,84.8,Waste,10.3,5.3,26,3.1,2204.8
CAT 777E,84.8,Waste,11.3,4.3,14,3.3,1187.2
CAT 777E,84.8,High Grade,8.7,6.9,2,3.4,169.6
CAT 777E,84.8,Waste,14.1,1.5,2,3.8,169.6
CAT 777E,84.8,Waste,12.3,3.3,6,3.8,508.8
KOMATSU HD785,84.8,High Grade,13.6,2,4,5.3,339.2
CAT 785C,135.15,Waste,13,2.6,2,5.7,270.3
CAT 785C,135.15,Waste,12.5,3.1,2,7.9,270.3
CAT 777E,84.8,Waste,14.2,1.4,4,0.8,339.2
CAT 777F,84.8,High Grade,9.4,6.2,3,0.9,254.4
CAT 777E,84.8,High Grade,11.7,3.9,2,2.2,169.6
CAT 777F,84.8,High Grade,10.8,4.8,2,2.4,169.6
CAT 777F,84.8,Waste,11.1,4.5,21,2.5,1780.8
CAT 777F,84.8,Waste,10.4,5.2,11,2.9,932.8
CAT 777E,84.8,Waste,10.5,5.1,24,3,2035.2
CAT 777E,84.8,Waste,11.1,4.5,8,3.1,678.4
CAT 785C,135.15,High Grade,6.6,9,2,3.4,270.3
CAT 777E,84.8,Waste,9.8,5.8,7,3.6,593.6
CAT 777F,84.8,Waste,13.2,2.4,10,3.7,848
CAT 777E,84.8,High Grade,11.2,4.4,3,4.9,254.4
CAT 777F,84.8,Waste,13.7,2,9,1.2,763.2
CAT 777F,84.8,High Grade,10.3,5.4,1,0.7,84.8
CAT 785C,135.15,Waste,8.3,7.4,7,1,946.05
CAT 777F,84.8,High Grade,11.9,3.8,3,1.2,254.4
CAT 777F,84.8,Low Grade,11.5,4.2,5,1.2,424
CAT 785C,135.15,High Grade,8.4,7.3,6,1.3,810.9
CAT 785C,135.15,Low Grade,9,6.7,6,1.5,810.9
CAT 777F,84.8,Low Grade,11,4.7,1,1.6,84.8
CAT 777F,84.8,Waste,10.3,5.4,27,1.7,2289.6
CAT 777F,84.8,High Grade,10.5,5.2,3,1.8,254.4
CAT 777F,84.8,Waste,11.9,3.8,9,1.9,763.2
CAT 777F,84.8,Waste,9.1,6.6,25,1.9,2120
CAT 777F,84.8,Waste,12,3.7,3,2,254.4
CAT 777F,84.8,High Grade,11.1,4.6,3,2,254.4
CAT 777E,84.8,Waste,9.2,6.5,10,2.1,848
CAT 785C,135.15,Waste,13.5,2.2,18,2.1,2432.7
CAT 785C,135.15,Waste,9.7,6,3,2.2,405.45
CAT 777E,84.8,Waste,12.1,3.6,20,2.2,1696
KOMATSU HD785,84.8,Waste,12.7,3,3,2.5,254.4
CAT 777F,84.8,Waste,9.5,6.2,2,2.8,169.6
CAT 777E,84.8,Waste,11.2,4.5,3,2.9,254.4
CAT 777E,84.8,Waste,11,4.7,2,3,169.6
CAT 785C,135.15,Waste,10.1,5.6,2,3.1,270.3
CAT 777E,84.8,Waste,10.7,5,3,3.1,254.4
CAT 777F,84.8,Waste,12.1,3.6,5,3.1,424
CAT 777F,84.8,Waste,11.9,3.8,22,3.1,1865.6
CAT 777E,84.8,Waste,12.5,3.2,32,3.2,2713.6
CAT 777F,84.8,Waste,7.8,7.9,8,3.3,678.4
CAT 777F,84.8,Waste,13.1,2.6,10,3.3,848
CAT 785C,135.15,Low Grade,12.5,3.2,2,4,270.3
CAT 785C,135.15,Waste,11.9,3.8,2,4,270.3
KOMATSU HD785,84.8,Waste,10.2,5.5,7,4,593.6
CAT 777E,84.8,Waste,14.1,1.6,7,4.1,593.6
CAT 777F,84.8,Waste,12.9,2.8,4,4.2,339.2
CAT 777F,84.8,Waste,12.2,3.5,11,4.2,932.8
CAT 777E,84.8,Waste,14.4,1.3,1,4.3,84.8
KOMATSU HD785,84.8,Waste,13.3,2.4,1,4.4,84.8
CAT 777E,84.8,High Grade,13.4,2.3,7,4.4,593.6
CAT 777E,84.8,Waste,11.7,4,6,5.1,508.8
CAT 777E,84.8,Waste,12.3,3.4,4,5.4,339.2
CAT 777F,84.8,High Grade,8.3,7.4,5,9.3,424
CAT 777F,84.8,Waste,12,3.7,19,2.1,1611.2
CAT 777F,84.8,Waste,12.1,3.6,5,2.8,424
CAT 777E,84.8,Waste,11.2,4.5,6,2.9,508.8
CAT 777E,84.8,Waste,11.7,4,7,2.9,593.6
CAT 777E,84.8,Waste,13.6,2.1,4,3.2,339.2
CAT 777E,84.8,Waste,8.8,6.9,9,3.6,763.2
CAT 777F,84.8,Low Grade,10.7,5,1,3.7,84.8
CAT 785C,135.15,Waste,10.1,5.6,3,4.3,405.45
CAT 785C,135.15,Waste,8.5,7.2,1,7.4,135.15
CAT 777F,84.8,Waste,13,2.8,2,2.4,169.6
CAT 777E,84.8,Waste,11.8,4,14,3.5,1187.2
CAT 785C,135.15,High Grade,8.5,7.3,3,1.8,405.45
CAT 777E,84.8,Waste,13.6,2.2,5,2.4,424
CAT 785C,135.15,Waste,13.4,2.4,23,2.4,3108.45
CAT 777F,84.8,Waste,11.4,4.4,3,2.5,254.4
CAT 777F,84.8,Waste,13.7,2.1,2,2.6,169.6
CAT 777E,84.8,Waste,11.9,3.9,4,2.7,339.2
CAT 777F,84.8,Waste,10.8,5,15,2.8,1272
CAT 785C,135.15,Waste,13.6,2.2,1,3.8,135.15
CAT 777E,84.8,Waste,13.6,2.2,14,4.7,1187.2
CAT 785C,135.15,Waste,13.8,2,4,5.5,540.6
KOMATSU HD785,84.8,High Grade,10.9,4.9,3,0.9,254.4
CAT 777F,84.8,Low Grade,12.7,3.1,12,1.2,1017.6
CAT 777F,84.8,High Grade,11.9,3.9,4,1.4,339.2
CAT 777F,84.8,Waste,9.5,6.3,1,1.6,84.8
CAT 777E,84.8,High Grade,8,7.8,6,1.6,508.8
CAT 785C,135.15,Low Grade,11.3,4.5,2,1.7,270.3
CAT 777E,84.8,High Grade,10.8,5,4,1.7,339.2
CAT 785C,135.15,Waste,11.4,4.4,1,2,135.15
CAT 777F,84.8,Low Grade,12.4,3.4,3,2.1,254.4
CAT 777F,84.8,Waste,10,5.8,31,2.1,2628.8
CAT 777F,84.8,Waste,10.1,5.7,31,2.1,2628.8
CAT 777E,84.8,Waste,15.2,0.6,2,2.2,169.6
CAT 777F,84.8,High Grade,11.7,4.1,6,2.4,508.8
CAT 777F,84.8,Waste,12,3.8,29,2.6,2459.2
CAT 777F,84.8,Waste,9.8,6,10,2.7,848
CAT 777F,84.8,Waste,13,2.8,37,2.7,3137.6
CAT 777E,84.8,Low Grade,12.1,3.7,1,2.9,84.8
CAT 777F,84.8,Waste,12.7,3.1,9,3,763.2
CAT 785C,135.15,Waste,14.3,1.5,1,3.7,135.15
KOMATSU HD785,84.8,Waste,12.7,3.1,3,3.9,254.4
CAT 777E,84.8,High Grade,10,5.8,1,4.3,84.8
CAT 777F,84.8,Waste,10.3,5.5,2,5.9,169.6
CAT 785C,135.15,Waste,15.1,0.7,1,7.4,135.15
CAT 777F,84.8,Low Grade,11.8,4.1,1,0.9,84.8
CAT 785C,135.15,Waste,12.2,3.7,6,1.4,810.9
CAT 777F,84.8,Waste,13.5,2.4,8,1.6,678.4
CAT 777E,84.8,High Grade,11.8,4.1,7,1.8,593.6
CAT 777F,84.8,Low Grade,12.5,3.4,9,1.9,763.2
CAT 777F,84.8,Waste,10.5,5.4,5,2.5,424
CAT 777E,84.8,Waste,10.8,5.1,14,2.5,1187.2
CAT 777F,84.8,Waste,12.7,3.2,23,3,1950.4
CAT 777F,84.8,Waste,10.6,5.3,32,3.2,2713.6
CAT 785C,135.15,High Grade,10.6,5.3,1,3.8,135.15
CAT 777F,84.8,Waste,12.1,3.8,6,3.8,508.8
CAT 777E,84.8,High Grade,10.7,5.2,3,0.9,254.4
CAT 785C,135.15,High Grade,11.4,4.5,5,1.8,675.75
CAT 785C,135.15,Waste,8.3,7.6,2,1.9,270.3
CAT 777E,84.8,Waste,11.9,4,10,2.5,848
CAT 777E,84.8,Waste,11,4.9,25,3,2120
CAT 777F,84.8,Waste,11.9,4,16,3.1,1356.8
CAT 777E,84.8,Waste,12.1,3.8,12,3.2,1017.6
CAT 777E,84.8,Waste,13.1,2.8,4,3.7,339.2
CAT 785C,135.15,Waste,10.7,5.2,1,4.1,135.15
CAT 777E,84.8,Waste,13.5,2.4,2,5.6,169.6
CAT 785C,135.15,Waste,11.1,4.8,1,7.2,135.15
CAT 785C,135.15,Waste,11.2,4.7,2,7.4,270.3
CAT 777E,84.8,Waste,10.6,5.3,23,1.7,1950.4
CAT 785C,135.15,High Grade,8.6,7.3,5,1.8,675.75
CAT 777F,84.8,High Grade,9.7,6.2,2,2,169.6
CAT 777F,84.8,Waste,9.1,6.8,7,2.1,593.6
CAT 777F,84.8,Waste,10.8,5.1,8,2.9,678.4
CAT 777F,84.8,Waste,11.3,4.6,15,2.9,1272
CAT 777F,84.8,Waste,12.7,3.2,31,3.1,2628.8
CAT 777F,84.8,Waste,12,3.9,4,3.2,339.2
CAT 785C,135.15,Waste,10.2,5.7,1,4,135.15
CAT 777F,84.8,Waste,9.9,6.1,7,2.7,593.6
CAT 777E,84.8,Waste,14.5,1.5,8,2.2,678.4
CAT 777F,84.8,High Grade,12.7,3.3,2,2.3,169.6
CAT 777F,84.8,Waste,12.3,3.7,17,2.8,1441.6
CAT 777F,84.8,Waste,12.4,3.6,33,3,2798.4
CAT 777E,84.8,Waste,14.1,1.9,3,3.1,254.4
CAT 777E,84.8,Waste,11.3,4.7,2,4.1,169.6
CAT 785C,135.15,High Grade,9.1,6.9,1,7,135.15
CAT 777F,84.8,High Grade,11.4,4.6,2,1,169.6
CAT 777F,84.8,High Grade,11.6,4.4,3,1.4,254.4
CAT 777F,84.8,High Grade,6.8,9.2,9,1.4,763.2
CAT 785C,135.15,Waste,9.1,6.9,26,1.6,3513.9
CAT 777F,84.8,High Grade,11.4,4.6,4,1.7,339.2
CAT 785C,135.15,Waste,12.2,3.8,18,1.8,2432.7
CAT 785C,135.15,Waste,10.4,5.6,16,1.9,2162.4
CAT 777F,84.8,Low Grade,13.4,2.6,5,2.1,424
CAT 777F,84.8,Waste,10.4,5.6,31,2.1,2628.8
CAT 777E,84.8,High Grade,12,4,3,2.2,254.4
CAT 777F,84.8,Waste,14,2,6,2.2,508.8
KOMATSU HD785,84.8,High Grade,12,4,4,2.3,339.2
CAT 777E,84.8,Waste,12.9,3.1,37,2.4,3137.6
CAT 777E,84.8,Waste,12.4,3.6,11,2.6,932.8
CAT 777F,84.8,Waste,12.7,3.3,12,2.6,1017.6
CAT 785C,135.15,High Grade,6.1,9.9,1,2.7,135.15
CAT 777F,84.8,Waste,12.3,3.7,18,2.7,1526.4
CAT 777F,84.8,Waste,12.8,3.2,30,2.8,2544
CAT 777E,84.8,Waste,9.5,6.5,31,3,2628.8
CAT 777F,84.8,Waste,13.8,2.2,5,3.1,424
CAT 777F,84.8,Waste,12.8,3.2,5,3.1,424
CAT 777E,84.8,Waste,12.6,3.4,10,3.1,848
CAT 777F,84.8,Waste,11.8,4.2,23,3.1,1950.4
CAT 777F,84.8,Waste,8.4,7.6,7,3.2,593.6
CAT 777E,84.8,Waste,12.5,3.5,14,3.2,1187.2
CAT 777F,84.8,Waste,9.8,6.2,11,3.3,932.8
CAT 777F,84.8,Waste,10.7,5.3,32,3.3,2713.6
CAT 777E,84.8,Waste,11.7,4.3,18,3.4,1526.4
CAT 785C,135.15,Waste,10.8,5.2,24,3.4,3243.6
KOMATSU HD785,84.8,Waste,10.9,5.1,7,4,593.6
CAT 777F,84.8,Waste,10.8,5.2,2,5.2,169.6
CAT 777F,84.8,Waste,8.3,7.7,3,2.2,254.4
CAT 777E,84.8,High Grade,12.7,3.4,1,0.7,84.8
CAT 777F,84.8,Waste,8.6,7.5,13,1.9,1102.4
CAT 785C,135.15,Waste,10.6,5.5,1,2.1,135.15
CAT 785C,135.15,Waste,10.6,5.5,8,2.4,1081.2
CAT 777F,84.8,Waste,11.6,4.5,21,2.7,1780.8
CAT 777E,84.8,Waste,11.6,4.5,11,2.9,932.8
CAT 777F,84.8,Waste,12.6,3.5,20,2.9,1696
CAT 777F,84.8,Low Grade,10.3,5.8,2,3.2,169.6
CAT 777F,84.8,Waste,11.7,4.4,38,4,3222.4
CAT 777F,84.8,Waste,12.3,3.8,4,4.1,339.2
CAT 785C,135.15,Waste,12.9,3.2,20,5.1,2703
CAT 777F,84.8,High Grade,7,9.1,9,1.2,763.2
CAT 777F,84.8,Low Grade,11.8,4.3,3,1.6,254.4
CAT 777F,84.8,High Grade,12.8,3.3,1,1.7,84.8
CAT 777E,84.8,High Grade,10.4,5.7,3,1.8,254.4
CAT 777E,84.8,Low Grade,11.1,5,4,1.8,339.2
CAT 777F,84.8,Low Grade,10.9,5.2,4,1.8,339.2
CAT 785C,135.15,Waste,7.5,8.6,27,1.8,3649.05
CAT 777F,84.8,Waste,13.9,2.2,6,2.2,508.8
CAT 777E,84.8,High Grade,10.5,5.6,2,2.4,169.6
CAT 777F,84.8,Waste,10.8,5.3,6,2.4,508.8
CAT 785C,135.15,Waste,10.7,5.4,10,2.4,1351.5
CAT 777E,84.8,Waste,13,3.1,28,2.4,2374.4
CAT 777E,84.8,Waste,11.4,4.7,7,2.5,593.6
CAT 777F,84.8,Waste,13.6,2.5,34,2.6,2883.2
CAT 777F,84.8,Waste,12,4.1,11,2.7,932.8
CAT 777F,84.8,Low Grade,8.6,7.5,1,2.8,84.8
CAT 777F,84.8,Low Grade,12.9,3.2,4,2.8,339.2
CAT 777F,84.8,Low Grade,11.8,4.3,1,2.9,84.8
CAT 777F,84.8,Waste,12.9,3.2,2,3.2,169.6
CAT 777F,84.8,Waste,10.9,5.2,5,3.3,424
CAT 777F,84.8,Waste,11.9,4.2,10,3.4,848
CAT 777E,84.8,Waste,10,6.1,8,3.5,678.4
CAT 777F,84.8,Waste,12.4,3.7,19,3.5,1611.2
CAT 777F,84.8,Waste,12.5,3.6,3,3.6,254.4
CAT 777F,84.8,Waste,12.5,3.6,11,3.7,932.8
CAT 777E,84.8,Waste,14.1,2,1,4.2,84.8
CAT 785C,135.15,Waste,13.2,2.9,1,4.2,135.15
KOMATSU HD1500,135.15,Waste,14.3,1.8,5,5.3,675.75
CAT 785C,135.15,Waste,13.8,2.3,4,8.1,540.6
KOMATSU HD1500,135.15,Waste,14.1,2,3,12.5,405.45
CAT 777E,84.8,High Grade,13.1,3.1,5,0.8,424
CAT 777F,84.8,High Grade,11.7,4.5,3,1,254.4
CAT 777E,84.8,Low Grade,5.4,10.8,2,1.2,169.6
CAT 785C,135.15,Low Grade,11.5,4.7,2,1.2,270.3
CAT 777F,84.8,High Grade,10.6,5.6,4,1.4,339.2
CAT 777E,84.8,Waste,9.1,7.1,10,1.6,848
CAT 777F,84.8,High Grade,7.6,8.6,3,1.9,254.4
CAT 777F,84.8,High Grade,9.9,6.3,6,1.9,508.8
CAT 777F,84.8,Waste,10.2,6,9,1.9,763.2
CAT 777F,84.8,Waste,13.2,3,7,2,593.6
CAT 777F,84.8,Low Grade,7.4,8.8,4,2.1,339.2
CAT 777F,84.8,Waste,13.5,2.7,10,2.1,848
CAT 777F,84.8,Waste,10.2,6,19,2.1,1611.2
CAT 777F,84.8,Waste,13.6,2.6,29,2.4,2459.2
CAT 777F,84.8,Waste,13.3,2.9,12,2.6,1017.6
KOMATSU HD785,84.8,Waste,12.1,4.1,4,2.7,339.2
CAT 777F,84.8,Waste,12.5,3.7,5,2.7,424
CAT 777F,84.8,Waste,11.3,4.9,13,2.8,1102.4
CAT 777E,84.8,Waste,12.4,3.8,32,2.8,2713.6
CAT 777E,84.8,High Grade,10.9,5.3,3,3,254.4
CAT 777F,84.8,High Grade,12.5,3.7,5,3.1,424
CAT 777F,84.8,Waste,12.4,3.8,30,3.1,2544
CAT 777E,84.8,Waste,12.3,3.9,4,4.6,339.2
CAT 785C,135.15,Waste,12.6,3.6,5,4.7,675.75
CAT 777F,84.8,High Grade,13.1,3.1,1,4.8,84.8
CAT 785C,135.15,Waste,12.9,3.3,11,6.1,1486.65
CAT 785C,135.15,Waste,6,10.2,2,6.3,270.3
CAT 777F,84.8,Waste,7.9,8.3,33,0.8,2798.4
CAT 777F,84.8,Low Grade,13.2,3,2,0.9,169.6
CAT 777F,84.8,High Grade,5.8,10.4,9,1.4,763.2
CAT 777F,84.8,Low Grade,8.7,7.5,9,2,763.2
CAT 785C,135.15,Waste,10.2,6,37,2,5000.55
CAT 777F,84.8,High Grade,11.3,4.9,2,2.3,169.6
CAT 777F,84.8,Waste,11.5,4.8,11,1.6,932.8
CAT 777E,84.8,Waste,13.7,2.6,1,1.9,84.8
CAT 777F,84.8,Waste,13.6,2.7,12,2,1017.6
CAT 777F,84.8,Waste,13.3,3,8,2.1,678.4
CAT 777F,84.8,Waste,11.2,5.1,2,2.6,169.6
CAT 777F,84.8,Waste,10.1,6.2,12,2.7,1017.6
CAT 777F,84.8,Waste,11.5,4.8,25,2.7,2120
CAT 777F,84.8,Waste,12.4,3.9,23,3.2,1950.4
CAT 777E,84.8,Waste,10.6,5.7,1,3.9,84.8
CAT 785C,135.15,Waste,13.8,2.5,11,4.7,1486.65
CAT 777F,84.8,Waste,11.3,5,2,5.3,169.6
CAT 777F,84.8,Low Grade,13,3.3,2,0.9,169.6
CAT 777E,84.8,High Grade,13.2,3.1,4,0.9,339.2
CAT 777E,84.8,Low Grade,12.6,3.7,10,1.1,848
CAT 777F,84.8,Low Grade,11,5.3,1,1.2,84.8
CAT 785C,135.15,Waste,12.5,3.8,4,1.5,540.6
CAT 777F,84.8,High Grade,7.3,9,4,1.5,339.2
CAT 777E,84.8,High Grade,11.3,5,8,1.6,678.4
CAT 777F,84.8,High Grade,10.1,6.2,1,1.9,84.8
CAT 777E,84.8,Low Grade,11.6,4.7,4,2,339.2
CAT 785C,135.15,Waste,12.3,4,9,2,1216.35
CAT 777F,84.8,Waste,12,4.3,30,2.4,2544
CAT 777F,84.8,Waste,12.4,3.9,3,2.5,254.4
CAT 777E,84.8,High Grade,12.5,3.8,6,2.5,508.8
CAT 777F,84.8,Waste,12,4.3,15,2.5,1272
CAT 777F,84.8,Waste,12.1,4.2,3,2.7,254.4
CAT 777E,84.8,Waste,14.4,1.9,18,2.7,1526.4
CAT 777E,84.8,High Grade,12.5,3.8,2,2.8,169.6
CAT 777E,84.8,Waste,13.5,2.8,2,3,169.6
CAT 785C,135.15,Waste,9.7,6.6,16,3.1,2162.4
CAT 777F,84.8,Waste,13.1,3.2,19,3.1,1611.2
CAT 777F,84.8,Waste,10.6,5.7,1,3.2,84.8
CAT 777E,84.8,High Grade,10.9,5.4,2,3.2,169.6
CAT 777F,84.8,Waste,11.5,4.8,9,3.2,763.2
CAT 777E,84.8,Waste,10.2,6.1,29,3.3,2459.2
CAT 777E,84.8,Waste,11.4,4.9,19,3.5,1611.2
CAT 777F,84.8,Waste,11.8,4.5,37,3.8,3137.6
CAT 777F,84.8,Waste,11.2,5.1,38,3.9,3222.4
CAT 785C,135.15,Waste,14.8,1.5,10,4.3,1351.5
CAT 777E,84.8,High Grade,14.4,1.9,3,4.5,254.4
CAT 777F,84.8,Waste,12.1,4.2,17,5.1,1441.6
CAT 785C,135.15,High Grade,9,7.3,1,9.5,135.15
CAT 785C,135.15,Waste,13.4,2.9,1,10.3,135.15
CAT 777F,84.8,Waste,11.2,5.1,29,3.3,2459.2
CAT 777F,84.8,Waste,8.1,8.3,34,0.8,2883.2
CAT 777F,84.8,Low Grade,13.6,2.8,2,0.9,169.6
CAT 777F,84.8,High Grade,12.7,3.7,5,1.5,424
